,GSM8391918_H23-Ctrl.CEL.gz,GSM8391919_H23-KRAS-C12.CEL.gz,GSM8391920_H358-Ctrl.CEL.gz,GSM8391921_H358-KRAS-C12.CEL.gz,GSM8391922_H1792-Ctrl.CEL.gz,GSM8391923_H1792-KRAS-C12.CEL.gz,GSM8391924_H441-Ctrl.CEL.gz,GSM8391925_H441-KRAS-V12.CEL.gz,GSM8391926_H1299-Ctrl.CEL.gz,GSM8391927_H1299-KRAS-C12.CEL.gz,GSM8391928_H1299-KRAS-V12.CEL.gz,GSM8398301_HBEC3.CEL.gz,GSM8398302_HBEC3-K.CEL.gz,GSM8398303_HBEC3-p53.CEL.gz,GSM8398304_HBEC3-p53K.CEL.gz
X1007_s_at,11.07802818,10.68441724,11.49190311,12.10089999,10.8843226,10.8077912,12.4953888,12.32119497,10.57346867,10.51173259,10.76913938,13.20098452,12.82439198,12.84788498,12.98125061
X1053_at,9.426954422,9.017153787,10.05838484,9.346047511,8.910410118,9.233349356,9.048964153,9.113285744,9.462894437,9.671025348,8.620275815,8.121317747,5.753624328,8.568455045,6.964764975
X117_at,7.216408998,7.127821845,7.063490596,7.194220938,7.132910712,6.960309021,7.349633869,7.458537277,7.077450868,7.045624458,7.138427398,7.275371599,7.017655237,7.226044455,6.956698965
X121_at,9.374658735,9.476240126,9.272168464,9.216359686,9.48664361,9.283674359,9.347177443,9.299785635,9.31167656,9.29217057,9.289737729,9.671087521,9.900275934,9.617150627,9.762179991
X1255_g_at,5.010371154,5.169469585,4.980347825,4.990741536,5.057903945,4.840096743,5.070100699,4.832694574,5.050621217,4.933016345,5.128290841,5.138763795,5.102864555,5.016795379,5.187924153
X1294_at,6.56137423,6.652076539,6.914467088,7.313050555,7.051806634,7.270514959,6.867239561,6.83345279,6.381278671,6.541538845,6.503336535,6.787537021,6.592972479,7.094316661,6.771213379
X1316_at,6.691605455,6.835341821,6.67438326,6.805083662,6.676829655,6.745848156,6.78184044,6.85108729,6.69111245,6.694240661,6.847641149,6.872074383,6.893742255,7.064904582,7.069619034
X1320_at,6.729519881,6.777917918,6.633253832,6.762405337,6.802732994,6.577390935,6.940900964,6.972988863,7.101751166,7.051075452,6.955556431,7.004498577,6.899929728,6.881604136,7.294591858
X1405_i_at,8.310731955,7.554299928,4.277743352,4.301772695,4.41820925,4.302730676,4.458313406,4.754275771,4.362884619,4.512176945,4.422172591,4.539542779,4.696787799,4.721156848,4.801243367
X1431_at,7.926474594,7.442528504,6.863213631,6.764125399,6.008287107,5.751624471,6.187562988,6.143986533,5.846301078,6.045709518,6.06165966,6.012890059,6.210745799,6.087615444,6.308057368
X1438_at,7.077990237,7.002115337,7.142310694,7.047059685,7.022774202,7.013434577,7.830426139,7.707444029,7.071316924,6.768627209,7.053802049,7.108220124,6.853783708,6.848796102,7.341359837
X1487_at,9.092090625,8.694150547,8.652919284,8.645329537,9.189489693,9.428640981,9.160847588,9.398292798,8.909325862,9.14603551,9.187867361,9.623735084,9.292332543,9.460541382,9.473553144
X1494_f_at,7.281598691,7.140027248,7.139039542,7.031574068,7.171115682,6.988702779,7.090899075,7.077375163,6.993823203,6.965142422,7.046092738,7.268240523,7.487622731,7.172558973,7.999054642
X1552256_a_at,9.835631288,10.01737926,8.309117647,8.613864522,11.09531576,11.55006897,8.306444917,8.283792544,9.542643828,9.643373305,9.288383378,11.16396066,9.502319542,11.14155767,10.37246886
X1552257_a_at,9.555527507,9.51847632,9.589427866,9.511714153,9.939924958,10.21460991,9.972321133,9.978807099,9.444018444,9.319769879,9.231711839,9.623390837,8.408169119,9.761591357,9.324492025
X1552258_at,7.329810985,7.55553709,8.2014031,7.970225071,8.273700173,7.282563023,7.74174908,7.499715795,7.817250528,7.744379611,7.609317689,6.752953647,7.853745178,6.593080521,6.646467814
X1552261_at,6.913985909,6.907377232,6.913068463,7.093223485,6.735938752,6.915055525,7.179201738,7.170983799,6.782166609,6.943887938,7.017387539,6.447425667,6.701859462,6.518222211,6.598275688
X1552263_at,6.895750522,6.99404678,7.14213809,7.269205981,7.211204114,6.619039045,8.555321163,8.947028522,8.119341593,8.03746367,8.27110173,8.52713301,8.053501751,8.366220046,7.355967254
X1552264_a_at,7.84960156,7.636433484,8.068138826,7.981971805,7.634654244,7.60634385,8.616339705,8.846661487,7.875926652,7.93591406,7.687626759,8.399503398,7.564686397,8.079594733,8.210580579
X1552266_at,5.131336061,5.118719079,5.216771425,5.147306661,5.146952174,5.243638588,5.022714878,5.143845273,4.912187523,4.826729106,5.059935407,5.031670014,5.832781814,5.106004724,5.118719079
X1552269_at,5.257767894,5.230964477,5.28599021,5.382223443,5.950016589,6.475670077,5.074539959,4.855675173,5.627394605,5.382334124,5.192533885,5.137229024,4.879054442,5.157480407,4.742013959
X1552271_at,6.427065489,6.350131866,6.198341165,6.052919536,5.884420295,5.785095903,6.191939849,5.977181416,6.430398025,6.548474585,6.389998901,6.611780207,6.10359483,6.68805037,5.984553099
X1552272_a_at,7.592300595,7.627877802,7.428606108,7.156386847,6.751823831,6.680396679,7.058712952,6.751823831,7.919161584,7.760461681,7.826170034,7.362936263,7.26879559,7.27679235,7.113845243
X1552274_at,5.79902453,5.814922359,6.245965087,6.103215233,6.944432789,6.932341312,5.716393264,5.867265756,6.738543124,6.604244503,6.023156033,5.571808225,5.467104656,5.430833911,5.627741579
X1552275_s_at,7.011064174,7.10417601,7.437581271,7.272895647,8.351574504,8.412627026,7.272895647,6.951519687,8.843518271,8.509278264,8.019012879,6.372618273,6.654218144,6.402215581,6.715583429
X1552276_a_at,5.974861802,5.978647155,5.68981138,5.82629198,5.970476668,5.865139549,5.849112775,5.919019835,5.790775122,5.603999043,5.652849591,6.292621702,6.146613191,6.321209242,6.487551815
X1552277_a_at,9.95837864,10.16864299,10.68458944,9.949452395,9.871766827,9.665692914,9.024376131,9.632548594,10.93404386,11.19173433,11.36038147,9.541858595,10.59719903,9.781012784,10.76269377
X1552278_a_at,6.436884292,6.558353318,5.951730604,6.109135147,5.928400329,5.551899093,6.953944092,7.306093919,5.872012498,5.749488631,5.868763612,6.801366473,6.028568601,6.541252646,6.506486949
X1552279_a_at,8.674173133,8.817134234,8.488154197,8.582536742,8.249798121,8.389648091,9.033063072,9.09155393,8.061780681,8.077707493,8.069669142,9.208094048,8.50468097,8.841235355,8.660468199
X1552280_at,6.706908298,6.694151578,6.683224658,6.75717744,6.510513111,6.727707516,6.677348589,6.753747622,6.723439537,6.706908298,7.216942905,6.662117089,6.674526943,6.673709846,6.844808865
X1552281_at,8.112694004,8.361584009,8.17085144,8.271534083,8.390868474,8.197971563,8.131606613,8.186060567,8.080642414,8.10660644,8.11031428,8.513223748,8.301652772,8.377897438,8.658882
X1552283_s_at,7.169111281,7.098409491,5.616671565,5.816968023,5.695281508,5.713103933,6.081854863,6.027550332,6.742676577,7.402639699,7.154100968,5.823930252,5.887997375,5.862437897,6.214407341
X1552286_at,9.149119801,9.104332973,8.498633271,8.431907504,7.368627876,7.691115263,8.307033674,8.138784671,8.859138258,8.845385558,8.811864129,7.550163448,8.455281286,7.879570434,7.888275577
X1552287_s_at,9.222884478,9.348392599,9.791396422,9.744850817,9.263896649,9.671998859,8.856681052,8.717848566,10.7574276,10.82904696,11.1432085,9.767372701,9.771082333,9.712542343,8.841482881
X1552288_at,6.309383098,6.552406007,6.257272113,6.053324828,6.160311669,6.09366356,6.057035755,6.198475375,6.281675923,6.324665025,6.537019612,6.174758486,6.113686311,6.073368008,7.21914766
X1552289_a_at,7.719567373,7.17682758,7.113591363,7.137664484,6.895411133,6.97044859,7.060659699,6.959508049,7.070276409,6.896398455,7.044005856,7.171022333,7.260001273,7.108899433,7.108899433
X1552291_at,8.79874853,9.015339666,8.494259399,7.843808568,8.647899136,8.861734575,9.642988496,9.218150024,9.267214017,9.511405559,9.543695832,8.371061957,9.020107668,8.368000346,8.697311848
X1552293_at,6.051787429,6.403850351,6.019931299,6.217937284,6.206782677,6.114500954,6.049804708,6.095470152,6.100945968,6.092010435,5.889465436,6.297698591,6.149250026,6.404111835,6.42989004
X1552295_a_at,8.039171695,7.913355399,7.913253834,8.002581561,8.407324496,8.298353376,7.994641199,7.984004239,8.087444794,8.120669373,8.020173809,8.600994268,9.157943931,8.408717902,9.039019977
X1552296_at,5.290266597,5.290266597,5.228832016,5.290266597,5.239843464,5.142472469,5.482888467,5.193502244,5.376893719,5.444142219,5.493704498,5.277263256,5.588171389,5.291450512,5.396778362
X1552299_at,5.994129509,6.349506337,6.184144962,6.244053069,6.55349073,6.741632798,6.877808684,6.929724057,6.800455203,6.714150926,7.194649734,6.103562075,6.164216343,6.126225178,6.921913246
X1552301_a_at,8.203993966,8.708970514,7.246257581,7.425936397,7.541869745,8.007121672,6.557367005,6.455889654,7.228422923,7.09514473,7.071862205,6.657564053,6.715282402,7.459707332,6.538018777
X1552302_at,5.354571269,5.275890878,5.25926434,5.025859663,5.337249729,5.509909681,5.604534102,5.639763188,5.2616765,5.5699428,5.400189685,5.022348127,4.897056212,5.064362276,4.857178153
X1552303_a_at,6.013136747,6.091766707,6.024830039,6.03032146,5.975170227,6.194987359,6.343501647,6.367244513,6.104588592,6.150907898,6.089557911,6.041744671,6.091766707,6.130672322,5.81317242
X1552304_at,5.708257713,5.707130089,6.097311631,5.798592701,6.096430663,6.302324651,5.915316285,5.90454182,6.500355633,6.341729396,6.290584971,6.071630869,5.458394097,5.677546387,5.179308805
X1552306_at,6.887716921,6.902015139,7.876422337,7.176932448,8.054774466,7.722187742,6.45321667,6.147712381,8.340118108,8.036243654,7.734280109,6.849961234,5.649901934,6.826019952,5.266033319
X1552307_a_at,7.660708745,7.360799594,6.392700177,6.282828275,8.000098447,7.771947313,6.252461357,6.697324374,6.697324374,6.5053543,6.697324374,6.590887956,5.875841073,6.885147981,6.464655583
X1552309_a_at,5.85725088,6.032986741,6.239130827,6.201912432,9.008038262,8.817490004,6.438183714,6.712379374,5.722322434,5.998992734,6.128539733,6.399910706,6.0937504,6.50799591,6.239130827
X1552310_at,9.220000065,9.388321858,10.63123785,10.53761649,9.809397414,10.16083665,8.347400916,8.896821357,9.28450062,9.393296077,9.453702966,8.726606141,8.812360643,9.175204774,8.964111701
X1552311_a_at,7.510686349,7.517844854,7.318985812,7.204567814,7.502803295,7.373423261,7.501762095,7.580275913,7.557015263,7.658050516,7.662617321,7.799229619,7.130414697,7.890457939,7.032650465
X1552312_a_at,6.584761186,6.412519764,7.501663329,7.575367839,6.753469233,7.247864409,6.760168116,6.989166937,7.3291717,7.331885263,7.034389369,7.980823362,8.223725939,8.272165513,7.046203983
X1552314_a_at,7.603758552,7.305425456,7.263156988,6.835154674,6.972516108,6.74772074,7.699782742,7.224707185,7.007096412,7.08187623,7.080108233,6.56661339,6.961821245,6.480937922,6.872253042
X1552315_at,5.587009497,5.559909155,5.457394257,5.303920322,5.519643096,5.404373972,5.526361844,5.543508718,5.573023668,5.875362115,5.723379283,5.833983685,5.488944937,5.813080188,6.10905563
X1552316_a_at,4.460872866,4.460872866,4.387341296,4.381029394,4.395904803,4.509396634,4.460872866,4.460872866,4.538888298,4.548220793,4.639952084,4.539109634,4.42958396,4.507971713,4.407885226
X1552318_at,4.670437589,4.737264581,4.627279862,4.596653341,4.636621694,4.727732667,4.782178833,4.86388119,4.581902233,4.527103255,4.666878533,4.615048513,4.562122719,4.647226718,4.684581502
X1552319_a_at,5.967736035,6.083298446,6.142148608,6.306832855,5.909049493,6.058310473,6.043247872,6.060063777,5.9646904,6.071630869,5.933682978,6.203484455,5.941890972,6.071630869,7.00695717
X1552320_a_at,4.595926028,4.658955036,4.339198203,4.370712188,4.430345207,4.406277123,4.350317449,4.337870456,4.572732665,4.483254888,4.369351699,4.559271028,4.43751017,4.512077782,4.892208211
X1552321_a_at,4.830776162,4.977449741,4.511993922,4.573899488,4.666639591,4.679459541,4.657090826,4.519763527,4.579606596,4.666639591,4.666639591,4.530445197,4.755975185,4.722519851,4.952896097
X1552322_at,4.506594517,4.433340118,4.21957053,4.350317449,4.186223622,4.396294705,4.346111854,4.202773621,4.394730552,4.302301846,4.309329368,4.330606021,4.345165544,4.282377841,4.330606021
X1552323_s_at,6.449688087,6.103291303,6.1041409,6.213493149,5.760302782,5.577463628,6.293119634,6.013436327,5.756326049,5.773409341,5.869056238,5.815334589,5.938923819,5.554857222,5.79903365
X1552325_at,5.053616607,5.204628845,5.026256629,4.856578749,4.875452544,4.959613283,4.911581701,5.087271051,5.203625832,5.586856851,5.812865362,4.932256353,5.150353689,4.868348746,4.833675837
X1552326_a_at,5.520901984,5.475072406,5.264973704,5.544958388,5.25268124,5.103192344,5.40505494,5.320322149,5.550138456,5.824610319,6.106170011,5.575102932,8.523174532,6.034189846,6.902015139
X1552327_at,4.568712283,4.495591904,4.619673084,4.577203111,4.618202779,4.570945847,4.805620692,4.646447106,4.498912716,4.504596673,4.581519035,4.730603105,5.107777355,4.791004632,5.238821374
X1552329_at,7.784580954,7.842280028,8.079662858,8.096246432,7.725967507,8.078418902,6.385053429,6.893023078,7.883585275,7.784580954,7.866873537,7.20607297,8.862976452,7.456130466,7.532523014
X1552330_at,7.678783709,7.153413692,7.94342588,7.213097065,7.766115868,8.154371739,7.763884018,7.825525712,6.589034878,6.589264301,5.580053854,5.564232532,5.230925837,5.15762278,5.376896897
X1552332_at,8.549992805,8.473380657,8.749625775,8.615082369,8.172364679,8.157781042,8.549992805,8.567372424,8.241968506,8.147080763,8.249934131,9.711696888,8.909465104,9.145517635,9.514607287
X1552334_at,7.005704781,6.890514594,7.480023393,7.129419557,6.559620385,6.501431674,7.123279921,7.260786951,6.190722512,6.38255612,6.459660132,8.550445887,7.00307964,8.094090078,7.404435244
X1552335_at,7.319418878,7.413839278,8.571237234,8.328456991,7.45836879,7.29722957,8.287304849,7.83112244,7.363370682,7.353478978,7.167550496,7.234296101,7.29722957,7.379435286,7.548693939
X1552337_s_at,6.167167247,6.094241162,6.042133698,5.899965803,6.218422139,6.328872574,6.223485269,6.087140884,6.207846581,6.178284324,6.314660606,6.149596156,6.010607742,6.117090974,7.008914269
X1552338_at,4.900139963,4.960337501,4.908108563,4.712499646,5.020064923,4.95403549,4.762863717,5.00498063,5.180677143,5.151647127,5.064735016,5.015226263,5.264620168,5.307234943,5.630460028
X1552340_at,5.733127787,6.079518505,5.787794302,5.877468278,6.001331627,5.675557087,5.92604414,5.574485558,5.583258899,5.910475351,5.630373726,6.087689736,5.98782572,6.175329659,5.922027246
X1552343_s_at,6.086136774,6.209112,6.852801073,7.166686529,6.251889902,6.340685473,6.074547052,6.087814322,5.773268252,6.202934408,6.215372808,6.7276089,6.954657104,7.696152957,6.128929613
