 ID,Gene.symbol,Gene.title,log2Exp,log2FC
1007_s_at,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1,10.56,-1.922
1053_at,RFC2,replication factor C subunit 2,8.321,1.416
1487_at,ESRRA,estrogen related receptor alpha,8.83,-1.064
1494_f_at,CYP2A6,cytochrome P450 family 2 subfamily A member 6,5.98,-1.696
1552271_at,PRR22,proline rich 22,3.579,-1.318
1552295_a_at,SLC39A13,solute carrier family 39 member 13,7.683,-1.733
1552312_a_at,MFAP3,microfibrillar associated protein 3,6.606,-2.184
1552326_a_at,CFAP53,cilia and flagella associated protein 53,4.673,-2.778
1552330_at,CENPBD1,CENPB DNA-binding domain containing 1,6.986,1.46
1552338_at,GSC,goosecoid homeobox,0.919,-1.542
1552343_s_at,PDE7A,phosphodiesterase 7A,6.148,-1.657
1552344_s_at,CNOT7,CCR4-NOT transcription complex subunit 7,7.478,1.081
1552347_at,CRYZL1,crystallin zeta like 1,8.726,-1.312
1552354_at,CBARP,CACN beta subunit associated regulatory protein,1.495,-1.651
1552375_at,ZNF333,zinc finger protein 333,5.392,-1.422
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),7.611,-1.461
1552379_at,RDH10,retinol dehydrogenase 10 (all-trans),1.486,-2.99
1552386_at,GAPT,"GRB2-binding adaptor protein, transmembrane",4.368,-1.419
1552391_at,CCDC185,coiled-coil domain containing 185,4.684,1.745
1552401_a_at,GRIK1-AS2///BACH1,GRIK1 antisense RNA 2///BTB domain and CNC homolog 1,3.741,-2.396
1552405_at,NLRP5,NLR family pyrin domain containing 5,5.562,-1.433
1552415_a_at,WFDC9,WAP four-disulfide core domain 9,6.23,-1.253
1552423_at,ETV3,ETS variant 3,5.486,-1.657
1552450_a_at,DNAJC5G,DnaJ heat shock protein family (Hsp40) member C5 gamma,6.16,1.523
1552455_at,PRUNE2,prune homolog 2,4.928,-1.783
1552463_at,SERPINB11,serpin family B member 11 (gene/pseudogene),5.208,-1.602
1552474_a_at,GAMT,guanidinoacetate N-methyltransferase,6.571,2.055
1552477_a_at,IRF6,interferon regulatory factor 6,6.062,-5.33
1552487_a_at,BNC1,basonuclin 1,4.649,-8.943
1552497_a_at,SLAMF6,SLAM family member 6,6.535,-1.097
1552499_a_at,ZSCAN20,zinc finger and SCAN domain containing 20,5.449,-1.256
1552509_a_at,CD300LG,CD300 molecule like family member g,5.003,-1.116
1552511_a_at,CPA6,carboxypeptidase A6,3.853,-3.962
1552524_at,ART5,ADP-ribosyltransferase 5,3.047,-1.176
1552543_a_at,STON2,stonin 2,4.696,-1.682
1552546_a_at,LETM2,leucine zipper and EF-hand containing transmembrane protein 2,6.684,-3.181
1552559_a_at,CDK15,cyclin dependent kinase 15,2.349,-1.241
1552566_at,BTBD16,BTB domain containing 16,1.05,-1.684
1552575_a_at,C6orf141,chromosome 6 open reading frame 141,7.601,-2.895
1552585_s_at,GTF2A1L,general transcription factor IIA subunit 1 like,4.265,-2.057
1552590_a_at,ABCC12,ATP binding cassette subfamily C member 12,3.977,-1.43
1552594_at,TMEM190,transmembrane protein 190,3.975,-2.164
1552596_at,GAS2L2,growth arrest specific 2 like 2,3.793,-2.584
1552609_s_at,IFNL3///IFNL2,interferon lambda 3///interferon lambda 2,4.417,-1.355
1552610_a_at,JAK1,Janus kinase 1,8.066,1.757
1552620_at,SPRR4,small proline rich protein 4,7.074,-1.5
1552643_at,ZNF626,zinc finger protein 626,6.404,1.76
1552652_at,HPS4,"HPS4, biogenesis of lysosomal organelles complex 3 subunit 2",6.785,-1.112
1552664_at,FLCN,folliculin,8.145,-1.033
1552665_at,JMJD1C-AS1,JMJD1C antisense RNA 1,6.324,-1.376
1552705_at,DUSP19,dual specificity phosphatase 19,4.484,2.478
1552724_at,RHOXF1,Rhox homeobox family member 1,5.697,-1.137
1552726_at,ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,4.341,-2.947
1552731_at,ABRA,actin binding Rho activating protein,0.7,-1.307
1552735_at,PCDHGA4,"protocadherin gamma subfamily A, 4",6.635,2.166
1552736_a_at,NETO1,neuropilin and tolloid like 1,4.854,-2.415
1552737_s_at,WWP2,WW domain containing E3 ubiquitin protein ligase 2,4.388,2.764
